Estimate_ID,Project_ID,Cement_Bags,Steel_kg,Sand_tons,Aggregate_tons,Bricks,Paint_Liters,Tiles_sqft,Estimated_Material_Cost
EST_627,PRJ_103,46110,472474,1283.46,2601.26,420190,21862,70135,68570836.0
EST_628,PRJ_103,55308,437971,1662.9,2556.7,444937,13004,83678,69478124.0
EST_629,PRJ_104,61366,538494,2164.88,3455.94,334757,20285,109187,83493219.0
EST_630,PRJ_104,59480,529526,2475.03,2792.93,483011,17425,95048,81388970.0
EST_631,PRJ_104,68254,550837,2752.8,3185.38,507436,29186,91762,90564523.0
EST_632,PRJ_104,57636,540757,2590.86,3094.46,555754,26399,94915,84918029.0
EST_633,PRJ_104,18674,147534,452.24,1146.64,92053,4357,30136,23334395.0
EST_634,PRJ_104,43418,380286,1440.25,2762.36,398489,11147,69497,59289425.0
EST_635,PRJ_104,3986,28978,161.89,178.15,26684,1466,4276,4936449.0
EST_636,PRJ_105,16021,142421,371.03,972.51,69453,6359,20821,21326475.0
EST_637,PRJ_105,35469,300017,1038.11,1821.87,203299,14326,43731,46468491.0
EST_638,PRJ_105,28546,234267,1036.37,1680.28,211533,9623,49107,38331350.0
EST_639,PRJ_105,5959,47734,184.01,321.88,43710,2391,7646,7761150.0
EST_640,PRJ_105,3734,30234,76.23,178.14,25621,1106,5491,4674997.0
EST_641,PRJ_105,13031,121961,396.45,681.09,61559,4791,15262,17640961.0
EST_642,PRJ_105,62370,490194,2344.9,3204.51,351979,20536,73877,79177740.0
EST_643,PRJ_105,5667,51064,169.11,345.22,48811,2366,9935,8008625.0
EST_644,PRJ_106,54133,445921,2169.23,2613.17,423461,21789,60406,71718383.0
EST_645,PRJ_106,62152,560120,2549.89,3460.45,466980,24990,88830,87228961.0
EST_646,PRJ_106,11674,93088,497.98,725.03,92544,5036,16936,15901631.0
EST_647,PRJ_106,10408,88190,263.27,648.52,50847,3684,14944,13654011.0
EST_648,PRJ_106,61648,575375,1791.36,2909.26,481636,24960,69191,84374583.0
EST_649,PRJ_106,43398,439949,1194.55,2208.72,319401,14281,54593,61113336.0
EST_650,PRJ_106,12469,110317,420.37,619.31,70111,5237,19075,16973697.0
EST_651,PRJ_107,44171,412084,1480.58,2306.97,339917,15550,76346,62013320.0
EST_652,PRJ_107,14671,122643,529.62,894.97,87662,5513,18709,19560066.0
EST_653,PRJ_107,13400,112327,545.95,825.29,118733,5680,21499,18700609.0
EST_654,PRJ_107,44324,404681,1917.1,2767.72,347562,11702,68770,62136963.0
EST_655,PRJ_107,29726,245555,924.36,1591.96,224592,13473,51234,40278365.0
EST_656,PRJ_107,39199,355002,1121.21,1688.35,203079,14212,50795,51830132.0
EST_657,PRJ_107,63158,556832,1382.9,3216.94,374612,15388,82356,80832122.0
EST_658,PRJ_107,27465,216674,773.78,1591.52,201271,8878,40928,35307263.0
EST_659,PRJ_108,44193,413245,1881.69,2126.64,213369,13189,55578,60239202.0
EST_660,PRJ_108,17664,178518,472.3,844.19,158003,8047,24466,25578984.0
EST_661,PRJ_108,25707,226541,878.94,1253.74,170542,8288,32499,34139523.0
EST_662,PRJ_108,27787,262621,1353.45,1651.56,213068,13199,45382,41301423.0
EST_663,PRJ_108,26740,217879,628.79,1372.95,177826,8554,29626,33565828.0
EST_664,PRJ_108,50452,452080,2298.31,3307.9,373075,13823,70829,70314099.0
EST_665,PRJ_108,63027,608382,2002.42,2874.74,485090,19988,104425,88062376.0
EST_666,PRJ_108,10401,101015,338.4,578.27,67384,2893,12520,14342532.0
EST_667,PRJ_109,6498,55084,268.89,375.33,33698,2483,7743,8706843.0
EST_668,PRJ_109,15717,145056,476.09,928.1,82660,3572,20745,20944696.0
EST_669,PRJ_109,49638,490133,1851.68,3222.86,345232,13562,64718,70679763.0
EST_670,PRJ_109,27773,275151,653.91,1624.91,191713,9931,50229,39661937.0
EST_671,PRJ_109,44598,478441,1558.2,3171.21,251017,13031,59983,66082621.0
EST_672,PRJ_109,46104,408095,1919.52,2511.18,415708,13090,77381,63895135.0
EST_673,PRJ_109,53721,525690,2247.65,2595.47,387105,19301,94140,77706894.0
EST_674,PRJ_109,55866,545987,1251.34,3337.87,392467,22022,65975,78064669.0
EST_675,PRJ_110,13971,136914,532.86,998.2,74083,3722,24707,20148045.0
EST_676,PRJ_110,22482,205175,883.25,1351.98,118773,7773,31550,31099502.0
EST_677,PRJ_110,23864,195919,748.51,1396.89,179349,7478,33010,31226915.0
EST_678,PRJ_110,57378,492821,1234.01,2910.96,298381,16140,70722,72554588.0
EST_679,PRJ_110,15182,120704,583.68,905.29,106728,6247,18002,20067331.0
EST_680,PRJ_110,57331,565752,2365.05,3094.07,460949,21396,70228,82729362.0
EST_681,PRJ_110,15521,154227,491.74,868.19,105988,4801,18061,21734470.0
EST_682,PRJ_111,13040,97045,465.29,654.13,96920,4148,18251,16380632.0
EST_683,PRJ_111,17553,184002,504.98,865.36,86893,4418,25574,24655845.0
EST_684,PRJ_111,55670,512854,1941.22,3177.79,509910,22288,75911,78601601.0
EST_685,PRJ_111,21879,192340,955.6,1206.16,151230,6552,36619,30125172.0
EST_686,PRJ_111,8114,82516,207.75,386.29,39998,3532,13983,11626569.0
EST_687,PRJ_111,57945,511674,1684.49,3034.19,454176,20807,104413,79239341.0
EST_688,PRJ_111,66117,556688,1962.16,2838.3,312327,23971,75490,84119353.0
EST_689,PRJ_111,35507,342337,1319.68,2087.6,196538,14604,58210,51108123.0
EST_690,PRJ_112,61937,516474,1808.73,3501.27,451050,22009,69758,80786221.0
EST_691,PRJ_112,73538,656988,2705.6,3767.72,468865,18867,103748,98204189.0
EST_692,PRJ_112,14272,122174,406.52,740.49,81329,5274,25020,19023394.0
EST_693,PRJ_112,12932,102543,421.84,622.85,58760,5163,20657,16644276.0
EST_694,PRJ_112,42682,370175,1104.76,1962.97,290235,12556,74825,56034543.0
EST_695,PRJ_112,9055,87107,325.47,615.72,74674,2761,14680,13058775.0
EST_696,PRJ_112,38292,338149,1205.85,2402.88,222011,10624,45022,50736598.0
EST_697,PRJ_112,13955,121593,387.64,740.3,104322,5169,20005,18697145.0
EST_698,PRJ_113,18796,170148,726.82,1015.64,93531,4680,29133,25330343.0
EST_699,PRJ_113,47716,473533,1480.65,2790.97,316008,12065,55710,66178060.0
EST_700,PRJ_113,57228,503861,2001.28,3052.85,295018,13828,86959,75505158.0
EST_701,PRJ_113,56258,485988,2323.5,2671.16,494879,16675,98878,76786595.0
EST_702,PRJ_113,61248,561634,1431.08,3583.12,295511,13529,75080,79736133.0
EST_703,PRJ_113,30186,230845,640.47,1484.35,146419,10736,40733,36885431.0
EST_704,PRJ_113,54986,566624,2353.33,2815.67,379153,18900,83132,80795262.0
EST_705,PRJ_113,16820,131663,576.21,1025.85,146520,7107,27313,22580984.0
EST_706,PRJ_114,38120,295969,844.79,2299.84,206336,15791,49943,48312461.0
EST_707,PRJ_114,28980,282787,922.61,1458.88,147734,13763,44980,41391403.0
EST_708,PRJ_114,38461,342400,1219.86,2286.1,192941,16984,55055,52803771.0
EST_709,PRJ_114,61747,476405,2478.81,3655.39,264956,15915,103403,78832024.0
EST_710,PRJ_114,40033,334810,1430.38,2018.38,325333,17036,58232,54087939.0
EST_711,PRJ_114,14779,136039,516.97,826.16,66755,3529,23914,19944570.0
EST_712,PRJ_114,17183,153483,613.08,901.42,106352,7224,23840,23595865.0
