Document_ID,Project_ID,Document_Name,Document_Type,Uploaded_By,Upload_Date,Version,Status
DOC_1283,PRJ_102,Environmental_Impact_Report_Rev_3.pdf,Environmental Impact Report,Vijay Joshi,2025-06-14,2.4,Superseded
DOC_1284,PRJ_100,NOC_Clearance_Rev_1.pdf,NOC Clearance,Amit Patel,2025-06-12,1.8,Pending Review
DOC_1285,PRJ_106,Blueprint_Drawing_Rev_4.pdf,Blueprint Drawing,Aditya Deshmukh,2025-08-04,3.4,Pending Review
DOC_1286,PRJ_104,NOC_Clearance_Rev_1.pdf,NOC Clearance,Manish Pandey,2025-06-09,1.1,Superseded
DOC_1287,PRJ_110,Safety_Certificate_Rev_2.pdf,Safety Certificate,Sanjay Gupta,2025-09-04,2.0,Approved
DOC_1288,PRJ_106,Environmental_Impact_Report_Rev_3.pdf,Environmental Impact Report,Arjun Rao,2025-07-01,3.7,Superseded
DOC_1289,PRJ_107,NOC_Clearance_Rev_3.pdf,NOC Clearance,Arjun Rao,2025-10-06,1.3,Approved
DOC_1290,PRJ_101,Environmental_Impact_Report_Rev_3.pdf,Environmental Impact Report,Aditya Deshmukh,2025-02-28,2.8,Approved
DOC_1291,PRJ_100,Safety_Certificate_Rev_1.pdf,Safety Certificate,Rajesh Sharma,2025-03-16,3.7,Pending Review
DOC_1292,PRJ_111,Safety_Certificate_Rev_4.pdf,Safety Certificate,Manoj Mishra,2025-07-09,3.5,Superseded
DOC_1293,PRJ_110,Environmental_Impact_Report_Rev_4.pdf,Environmental Impact Report,Manoj Mishra,2025-02-23,1.2,Approved
DOC_1294,PRJ_103,Blueprint_Drawing_Rev_1.pdf,Blueprint Drawing,Gaurav Joshi,2025-10-07,1.0,Approved
DOC_1295,PRJ_107,Environmental_Impact_Report_Rev_2.pdf,Environmental Impact Report,Siddharth Rao,2025-04-03,2.8,Approved
DOC_1296,PRJ_101,GST_Invoice_Rev_4.pdf,GST Invoice,Vikram Singh,2025-06-02,2.0,Approved
DOC_1297,PRJ_102,Structural_Design_Rev_4.pdf,Structural Design,Lakshana G S,2025-06-01,1.7,Superseded
DOC_1298,PRJ_103,Structural_Design_Rev_3.pdf,Structural Design,Vimal E A,2025-09-01,2.0,Pending Review
DOC_1299,PRJ_100,Blueprint_Drawing_Rev_4.pdf,Blueprint Drawing,Pranav Reddy,2025-09-06,2.9,Superseded
DOC_1300,PRJ_111,NOC_Clearance_Rev_3.pdf,NOC Clearance,Amit Patel,2025-06-05,2.7,Superseded
DOC_1301,PRJ_109,Environmental_Impact_Report_Rev_4.pdf,Environmental Impact Report,Vijay Joshi,2025-08-02,1.8,Approved
DOC_1302,PRJ_106,NOC_Clearance_Rev_3.pdf,NOC Clearance,Mehaavarshini J,2025-02-17,2.6,Pending Review
DOC_1303,PRJ_101,Safety_Certificate_Rev_3.pdf,Safety Certificate,Sandeep Choudhury,2025-07-29,2.0,Approved
DOC_1304,PRJ_104,Environmental_Impact_Report_Rev_2.pdf,Environmental Impact Report,Lakshana G S,2025-04-30,2.3,Superseded
DOC_1305,PRJ_103,NOC_Clearance_Rev_3.pdf,NOC Clearance,Karthik Raja,2025-09-07,3.7,Approved
DOC_1306,PRJ_114,GST_Invoice_Rev_4.pdf,GST Invoice,Pranav Reddy,2025-09-02,3.5,Pending Review
DOC_1307,PRJ_112,Structural_Design_Rev_2.pdf,Structural Design,Manoj Mishra,2025-07-27,3.1,Superseded
