Estimate_ID,Project_ID,Building_Type,Area_sqft,Floors,Material_Cost,Labour_Cost,Machinery_Cost,Other_Cost,GST,Estimated_Total_Cost
EST_652,PRJ_107,Residential,31799,5,40988911,13448821.07,5938652.45,3186354.98,11441293.11,75004032.61
EST_653,PRJ_107,Residential,32077,1,41411407,14621835.39,4526532.9,3308862.11,11496354.73,75364992.13
EST_654,PRJ_107,Residential,105987,1,158768526,57485560.02,28247605.64,13692545.73,46474962.73,304669200.12
EST_655,PRJ_107,Infrastructure,68633,1,122509905,46329041.48,20646790.2,7163777.39,35396912.53,232046426.6
EST_656,PRJ_107,Residential,83939,9,143032056,46040620.42,16694807.43,9125172.49,38680678.14,253573334.48
EST_657,PRJ_107,Residential,131938,3,207010722,69918898.27,25805751.01,16819969.85,57519961.4,377075302.53
EST_658,PRJ_107,Infrastructure,56261,1,93843348,29658801.17,12243347.43,9144205.92,26080146.45,170969848.97
EST_659,PRJ_108,Infrastructure,104585,1,160747145,58838830.17,22996747.31,14656404.18,46303042.8,303542169.46
EST_660,PRJ_108,Infrastructure,40684,1,61310788,21342271.4,11938920.52,3681257.55,17689182.74,115962420.21
EST_661,PRJ_108,Residential,51566,13,78689716,27047010.64,13337574.54,5866347.1,22489316.69,147429964.97
EST_662,PRJ_108,Infrastructure,68550,1,105087150,37453931.99,19089023.16,7318979.15,30410835.17,199359919.47
EST_663,PRJ_108,Commercial,57376,19,100867008,32982410.34,17829432.96,5179097.77,28234430.83,185092379.9
EST_664,PRJ_108,Infrastructure,126011,1,178179554,65172422.43,23008881.87,15081431.75,50659612.21,332101902.26
EST_665,PRJ_108,Residential,135889,5,205192390,69006852.27,34034501.87,17597672.73,58649655.04,384481071.91
EST_666,PRJ_108,Residential,24389,15,41217410,15965011.57,6324265.03,3964075.66,12144737.21,79615499.47
EST_667,PRJ_109,Infrastructure,14637,1,22950816,9300706.71,4159369.44,1828973.41,6883175.8,45123041.36
EST_668,PRJ_109,Commercial,33670,25,48956180,19515903.67,6633605.57,4031541.05,14244701.45,93381931.74
EST_669,PRJ_109,Commercial,109757,25,168916023,75143562.52,24162686.16,8534885.54,49816288.3,326573445.52
EST_670,PRJ_109,Residential,63196,17,109392276,41973708.27,18461745.08,6678572.03,31771134.25,208277435.63
EST_671,PRJ_109,Residential,107533,15,184096496,59391690.88,36777007.18,13648648.05,52904491.58,346818333.69
EST_672,PRJ_109,Residential,114045,3,150311310,63836861.88,26006122.17,10133452.3,45051794.34,295339540.69
EST_673,PRJ_109,Residential,124362,7,215519346,80267788.11,31814158.33,15497629.12,61757805.88,404856727.44
EST_674,PRJ_109,Infrastructure,123606,1,188622756,58487418.17,19705099.65,16134592.4,50930975.92,333880842.14
EST_675,PRJ_110,Residential,33668,22,46057824,20241877.86,8016315.84,3491169.02,14005293.61,91812480.33
EST_676,PRJ_110,Infrastructure,46978,1,72252164,27743193.95,14150316.25,4450211.45,21347259.42,139943145.07
EST_677,PRJ_110,Residential,53352,6,87603984,31479384.05,15220214.29,8248341.61,25659346.31,168211270.26
EST_678,PRJ_110,Residential,117604,13,141595216,57446643.56,17073331.38,12406045.35,41133822.53,269655058.82
EST_679,PRJ_110,Commercial,31673,18,44057143,15634512.27,5273967.25,2453883.67,12135511.11,79555017.3
EST_680,PRJ_110,Infrastructure,133315,1,231968100,103199698.81,30466785.59,16106000.55,68713305.29,450453890.24
EST_681,PRJ_110,Residential,34945,12,54514200,23268168.99,8816923.26,4943724.5,16477743.01,108020759.76
EST_682,PRJ_111,Infrastructure,27217,1,36389129,12626222.17,4507058.27,2032239.89,9999836.88,65554486.21
EST_683,PRJ_111,Residential,42056,17,67163432,24362585.67,7642307.29,4646735.5,18686710.88,122501771.34
EST_684,PRJ_111,Commercial,132577,21,232009750,93735404.99,38171638.33,23199809.76,69680988.55,456797591.63
EST_685,PRJ_111,Infrastructure,48742,1,82910142,28465142.42,9842251.18,7635962.78,23193629.71,152047128.09
EST_686,PRJ_111,Infrastructure,19053,1,29856051,13219551.57,4432455.96,1784090.86,8872586.89,58164736.28
EST_687,PRJ_111,Residential,137497,21,234569882,84766553.97,34991396.37,20057394.73,67389340.87,441774567.94
EST_688,PRJ_111,Residential,133109,6,170911956,65768573.37,30693751.56,10430154.26,50004798.33,327809233.52
EST_689,PRJ_111,Commercial,77051,8,134839250,46290388.22,24011367.27,10555556.7,38825381.19,254521943.38
EST_690,PRJ_112,Infrastructure,138904,1,182658760,70489313.84,23159101.6,14093093.09,52272048.34,342672316.87
EST_691,PRJ_112,Residential,147093,25,182689506,75633568.68,26332254.84,11130741.21,53241492.73,349027563.46
EST_692,PRJ_112,Residential,31847,24,46273691,15948520.99,9251557.67,3354223.32,13469038.74,88297031.72
EST_693,PRJ_112,Residential,27802,15,36698640,15279286.0,4539423.8,3322516.36,10771175.91,70611042.07
EST_694,PRJ_112,Infrastructure,96915,1,158746770,51576387.85,18084987.11,9577348.65,42837388.85,280822882.46
EST_695,PRJ_112,Commercial,20560,19,32053040,12175094.65,5118414.33,1872502.32,9219429.23,60438480.53
EST_696,PRJ_112,Infrastructure,81712,1,122241152,47174124.16,23866330.07,9256191.64,36456803.62,238994601.49
EST_697,PRJ_112,Infrastructure,29962,1,40089156,17816254.3,7158684.7,3846090.91,12403833.46,81314019.37
EST_698,PRJ_113,Infrastructure,38262,1,51079770,17236949.41,8741765.53,4669921.5,14711113.16,96439519.6
EST_699,PRJ_113,Infrastructure,107944,1,183612744,58999501.75,29972980.73,14944358.94,51755325.38,339284910.8
EST_700,PRJ_113,Residential,123486,3,159914370,57637555.14,27981854.57,13550373.05,46635147.5,305719300.26
EST_701,PRJ_113,Residential,124195,16,190639325,73833339.33,35628731.44,17607136.61,57187535.83,374896068.21
EST_702,PRJ_113,Commercial,125179,21,196030314,83806083.17,35200730.78,13699734.03,59172635.16,387909497.14
EST_703,PRJ_113,Residential,60535,16,89228590,31089897.31,11453320.03,6903216.87,24961504.36,163636528.57
EST_704,PRJ_113,Commercial,132228,11,165152772,50683971.83,26856805.59,15166822.81,46414867.0,304275239.23
EST_705,PRJ_113,Commercial,37568,6,62024768,22854745.12,12354330.47,4427946.02,18299122.13,119960911.74
EST_706,PRJ_114,Infrastructure,84132,1,114587784,49406070.62,21503486.68,6264170.3,34517072.09,226278583.69
EST_707,PRJ_114,Residential,70638,3,111608040,44607090.9,18403174.82,5869395.81,32487786.28,212975487.81
EST_708,PRJ_114,Infrastructure,85087,1,122440193,44615325.78,13360663.91,6704725.05,33681763.39,220802671.13
EST_709,PRJ_114,Commercial,129992,3,173539320,67515806.43,26368332.27,12538796.16,50393205.87,330355460.73
EST_710,PRJ_114,Commercial,95065,4,155146080,62695252.38,22925939.99,9533314.45,45054105.63,295354692.45
EST_711,PRJ_114,Commercial,31850,4,48412000,17192759.48,6289954.89,3347014.57,13543511.21,88785240.15
EST_712,PRJ_114,Commercial,42448,3,73986864,28447481.77,11914247.06,4306466.64,21357910.7,140012970.17
