Weather_ID,Project_ID,Date,Temperature,Humidity,Rainfall_mm,Wind_Speed,Weather_Condition
WTH_1397,PRJ_107,2025-07-17,32.8,42,13.5,32.6,Heavy Rain
WTH_1398,PRJ_108,2025-07-28,29.4,65,35.1,31.4,Heavy Rain
WTH_1399,PRJ_112,2025-06-04,40.8,54,0.0,33.7,Cloudy
WTH_1400,PRJ_114,2025-07-02,27.3,61,14.7,23.8,Thunderstorm
WTH_1401,PRJ_100,2025-08-01,31.3,41,0.0,28.9,Windy
WTH_1402,PRJ_114,2025-07-13,38.3,55,0.0,19.2,Sunny
WTH_1403,PRJ_105,2025-09-15,24.9,61,0.0,28.8,Windy
WTH_1404,PRJ_101,2025-09-08,34.2,68,0.0,23.8,Sunny
WTH_1405,PRJ_109,2025-06-16,25.5,43,0.0,16.3,Sunny
WTH_1406,PRJ_114,2025-09-17,35.8,90,14.7,29.1,Heavy Rain
WTH_1407,PRJ_100,2025-07-09,34.4,67,0.0,8.1,Sunny
WTH_1408,PRJ_100,2025-08-11,24.9,94,0.0,17.1,Cloudy
WTH_1409,PRJ_109,2025-09-05,31.0,95,0.0,28.6,Windy
WTH_1410,PRJ_109,2025-06-02,31.7,69,0.0,31.4,Cloudy
WTH_1411,PRJ_109,2025-06-13,29.8,83,0.0,18.6,Sunny
WTH_1412,PRJ_105,2025-08-15,27.3,46,0.0,22.9,Sunny
WTH_1413,PRJ_101,2025-08-15,37.4,52,0.0,8.8,Windy
WTH_1414,PRJ_108,2025-07-03,30.0,70,0.0,18.3,Windy
WTH_1415,PRJ_103,2025-06-18,37.5,43,33.4,18.1,Heavy Rain
WTH_1416,PRJ_110,2025-09-05,30.1,77,0.0,28.3,Windy
WTH_1417,PRJ_102,2025-07-31,29.2,61,37.7,5.2,Thunderstorm
WTH_1418,PRJ_109,2025-08-24,35.5,43,48.0,30.1,Heavy Rain
WTH_1419,PRJ_113,2025-06-07,31.2,52,58.0,11.0,Heavy Rain
WTH_1420,PRJ_101,2025-07-14,27.2,70,0.0,23.0,Cloudy
WTH_1421,PRJ_105,2025-09-18,33.8,61,0.0,14.0,Windy
WTH_1422,PRJ_105,2025-06-21,25.8,90,0.0,19.9,Sunny
WTH_1423,PRJ_114,2025-06-01,34.9,84,45.0,11.4,Heavy Rain
WTH_1424,PRJ_107,2025-09-03,37.1,92,70.5,16.3,Thunderstorm
