Material_ID,Material_Name,Category,Unit,Current_Price,Vendor_ID,Available_Stock,Minimum_Stock,Project_ID
MAT_460,Sand Standard Grade,Civil,tons,2598.97,VND_204,513,133,PRJ_113
MAT_461,Sand Standard Grade,Civil,tons,2645.44,VND_201,1016,260,PRJ_110
MAT_462,Aggregate Standard Grade,Civil,tons,1971.79,VND_219,1745,195,PRJ_111
MAT_463,Electrical Cables Standard Grade,Electrical,Meters,118.21,VND_207,2195,208,PRJ_112
MAT_464,Electrical Cables Standard Grade,Electrical,Meters,130.27,VND_206,1637,238,PRJ_109
MAT_465,Electrical Cables Standard Grade,Electrical,Meters,122.31,VND_209,1240,448,PRJ_108
MAT_466,Plumbing Pipes Standard Grade,Plumbing,Meters,212.69,VND_205,886,468,PRJ_112
MAT_467,Sand Standard Grade,Civil,tons,2702.38,VND_201,1372,378,PRJ_113
MAT_468,Paint Standard Grade,Finishing,Liters,289.29,VND_203,2156,414,PRJ_108
MAT_469,Steel Rebars Standard Grade,Structural,kg,67.51,VND_205,1119,189,PRJ_114
MAT_470,Plumbing Pipes Standard Grade,Plumbing,Meters,204.14,VND_213,2044,96,PRJ_114
MAT_471,Aggregate Standard Grade,Civil,tons,1930.51,VND_211,922,63,PRJ_100
MAT_472,Tiles Standard Grade,Finishing,sqft,56.39,VND_207,424,247,PRJ_105
MAT_473,Aggregate Standard Grade,Civil,tons,1717.61,VND_203,1952,479,PRJ_110
MAT_474,Paint Standard Grade,Finishing,Liters,299.24,VND_204,666,69,PRJ_114
MAT_475,Electrical Cables Standard Grade,Electrical,Meters,126.53,VND_204,1892,438,PRJ_107
MAT_476,Electrical Cables Standard Grade,Electrical,Meters,125.08,VND_202,593,59,PRJ_103
MAT_477,Sand Standard Grade,Civil,tons,2580.8,VND_219,1196,320,PRJ_101
MAT_478,Bricks Standard Grade,Civil,Pcs,7.89,VND_203,572,74,PRJ_106
MAT_479,Electrical Cables Standard Grade,Electrical,Meters,115.13,VND_215,1462,355,PRJ_100
MAT_480,Plumbing Pipes Standard Grade,Plumbing,Meters,217.61,VND_204,1088,199,PRJ_100
MAT_481,Paint Standard Grade,Finishing,Liters,276.1,VND_213,1515,145,PRJ_110
MAT_482,Steel Rebars Standard Grade,Structural,kg,69.94,VND_211,2046,84,PRJ_108
MAT_483,Plumbing Pipes Standard Grade,Plumbing,Meters,215.48,VND_216,384,333,PRJ_106
MAT_484,Electrical Cables Standard Grade,Electrical,Meters,114.78,VND_212,770,241,PRJ_111
MAT_485,Cement Standard Grade,Structural,Bags,421.5,VND_202,729,226,PRJ_111
MAT_486,Steel Rebars Standard Grade,Structural,kg,72.47,VND_210,218,118,PRJ_105
MAT_487,Plumbing Pipes Standard Grade,Plumbing,Meters,210.16,VND_205,2080,475,PRJ_110
MAT_488,Electrical Cables Standard Grade,Electrical,Meters,131.65,VND_215,756,373,PRJ_112
MAT_489,Sand Standard Grade,Civil,tons,2398.66,VND_214,678,68,PRJ_103
MAT_490,Cement Standard Grade,Structural,Bags,448.84,VND_201,2132,211,PRJ_104
MAT_491,Plumbing Pipes Standard Grade,Plumbing,Meters,212.04,VND_217,820,292,PRJ_100
MAT_492,Aggregate Standard Grade,Civil,tons,1787.25,VND_201,1845,493,PRJ_105
MAT_493,Bricks Standard Grade,Civil,Pcs,7.75,VND_211,2104,273,PRJ_106
MAT_494,Electrical Cables Standard Grade,Electrical,Meters,130.1,VND_212,615,223,PRJ_107
MAT_495,Electrical Cables Standard Grade,Electrical,Meters,120.61,VND_216,1836,186,PRJ_101
MAT_496,Tiles Standard Grade,Finishing,sqft,52.9,VND_219,850,471,PRJ_108
MAT_497,Bricks Standard Grade,Civil,Pcs,7.99,VND_202,1580,217,PRJ_104
MAT_498,Bricks Standard Grade,Civil,Pcs,8.14,VND_213,1557,135,PRJ_107
MAT_499,Paint Standard Grade,Finishing,Liters,284.78,VND_211,1264,364,PRJ_104
MAT_500,Cement Standard Grade,Structural,Bags,403.73,VND_212,1296,236,PRJ_112
MAT_501,Sand Standard Grade,Civil,tons,2732.3,VND_204,1738,484,PRJ_110
MAT_502,Electrical Cables Standard Grade,Electrical,Meters,114.63,VND_202,1774,170,PRJ_110
MAT_503,Paint Standard Grade,Finishing,Liters,281.21,VND_218,1315,66,PRJ_102
MAT_504,Electrical Cables Standard Grade,Electrical,Meters,131.08,VND_211,1849,277,PRJ_101
MAT_505,Sand Standard Grade,Civil,tons,2573.55,VND_212,1550,210,PRJ_104
MAT_506,Aggregate Standard Grade,Civil,tons,1969.34,VND_200,817,426,PRJ_107
MAT_507,Plumbing Pipes Standard Grade,Plumbing,Meters,211.69,VND_217,656,110,PRJ_112
MAT_508,Bricks Standard Grade,Civil,Pcs,8.44,VND_206,957,363,PRJ_111
MAT_509,Electrical Cables Standard Grade,Electrical,Meters,117.6,VND_204,647,486,PRJ_107
