Report_ID,Project_ID,Date,Weather,Workers_Present,Work_Completed,Materials_Used,Equipment_Used,Issues,Supervisor
REP_1190,PRJ_104,2025-08-04,Overcast,150,External Plastering Ongoing,"Cement: 91 Bags, Steel: 709 kg","Excavator, Concrete Mixer",None,Naga Vedhika B
REP_1191,PRJ_103,2025-06-18,Light Showers,202,Electrical Conduit Fixing,"Cement: 186 Bags, Steel: 1959 kg","Scaffolding, Generator",None,Pranav Reddy
REP_1192,PRJ_107,2025-05-20,Sunny,78,Slab Concreting Completed,"Cement: 172 Bags, Steel: 1213 kg","Tower Crane, Dump Truck",Minor voltage fluctuation,Vikram Singh
REP_1193,PRJ_113,2025-08-22,Light Showers,178,External Plastering Ongoing,"Cement: 94 Bags, Steel: 1953 kg","Tower Crane, Dump Truck",None,Alok Saxena
REP_1194,PRJ_113,2025-05-31,Clear,77,Brickwork Level 4 Active,"Cement: 108 Bags, Steel: 1129 kg","Excavator, Concrete Mixer",None,Vikram Singh
REP_1195,PRJ_101,2025-08-17,Sunny,64,Slab Concreting Completed,"Cement: 173 Bags, Steel: 1383 kg","Excavator, Concrete Mixer",None,Anil Mehta
REP_1196,PRJ_100,2025-09-09,Light Showers,60,Foundation Excavation,"Cement: 80 Bags, Steel: 1018 kg","Excavator, Concrete Mixer",None,Manoj Mishra
REP_1197,PRJ_110,2025-05-03,Sunny,245,Slab Concreting Completed,"Cement: 102 Bags, Steel: 1703 kg","Excavator, Concrete Mixer",None,Aditya Deshmukh
REP_1198,PRJ_105,2025-05-08,Sunny,82,External Plastering Ongoing,"Cement: 198 Bags, Steel: 1212 kg","Tower Crane, Dump Truck",None,Naga Vedhika B
REP_1199,PRJ_112,2025-07-01,Light Showers,190,Slab Concreting Completed,"Cement: 75 Bags, Steel: 1684 kg","Excavator, Concrete Mixer",None,Gaurav Joshi
REP_1200,PRJ_103,2025-07-12,Clear,238,Electrical Conduit Fixing,"Cement: 51 Bags, Steel: 1985 kg","Excavator, Concrete Mixer",None,Naga Vedhika B
REP_1201,PRJ_113,2025-08-30,Humid,223,Electrical Conduit Fixing,"Cement: 97 Bags, Steel: 1400 kg","Scaffolding, Generator",None,Sanjay Gupta
REP_1202,PRJ_113,2025-07-30,Overcast,153,Brickwork Level 4 Active,"Cement: 181 Bags, Steel: 966 kg","Tower Crane, Dump Truck",None,Manish Pandey
REP_1203,PRJ_105,2025-06-01,Overcast,73,Electrical Conduit Fixing,"Cement: 84 Bags, Steel: 1515 kg","Tower Crane, Dump Truck",Minor voltage fluctuation,Mehaavarshini J
REP_1204,PRJ_111,2025-05-11,Sunny,128,Foundation Excavation,"Cement: 79 Bags, Steel: 1288 kg","Tower Crane, Dump Truck",Shortage of premium sand tiles,Karthik Raja
REP_1205,PRJ_111,2025-07-19,Overcast,102,Electrical Conduit Fixing,"Cement: 154 Bags, Steel: 1095 kg","Tower Crane, Dump Truck",None,Suresh Kumar
REP_1206,PRJ_114,2025-08-30,Humid,90,Slab Concreting Completed,"Cement: 175 Bags, Steel: 1876 kg","Excavator, Concrete Mixer",Shortage of premium sand tiles,Sandeep Choudhury
REP_1207,PRJ_108,2025-05-22,Sunny,81,Foundation Excavation,"Cement: 152 Bags, Steel: 1923 kg","Scaffolding, Generator",None,Alok Saxena
REP_1208,PRJ_114,2025-06-13,Sunny,138,Brickwork Level 4 Active,"Cement: 136 Bags, Steel: 910 kg","Scaffolding, Generator",Shortage of premium sand tiles,Anil Mehta
REP_1209,PRJ_103,2025-08-17,Overcast,116,Electrical Conduit Fixing,"Cement: 119 Bags, Steel: 1818 kg","Tower Crane, Dump Truck",Minor voltage fluctuation,Lakshana G S
REP_1210,PRJ_110,2025-08-12,Overcast,175,External Plastering Ongoing,"Cement: 87 Bags, Steel: 1431 kg","Excavator, Concrete Mixer",None,Deepak Tiwari
REP_1211,PRJ_107,2025-09-05,Clear,205,Brickwork Level 4 Active,"Cement: 57 Bags, Steel: 703 kg","Scaffolding, Generator",None,Suresh Kumar
REP_1212,PRJ_107,2025-05-07,Clear,142,Electrical Conduit Fixing,"Cement: 133 Bags, Steel: 812 kg","Tower Crane, Dump Truck",None,Manish Pandey
REP_1213,PRJ_101,2025-09-11,Overcast,247,Foundation Excavation,"Cement: 101 Bags, Steel: 1101 kg","Scaffolding, Generator",Shortage of premium sand tiles,Lakshana G S
REP_1214,PRJ_108,2025-07-06,Light Showers,132,Electrical Conduit Fixing,"Cement: 189 Bags, Steel: 536 kg","Excavator, Concrete Mixer",Shortage of premium sand tiles,Anil Mehta
REP_1215,PRJ_106,2025-08-24,Humid,141,Foundation Excavation,"Cement: 167 Bags, Steel: 573 kg","Excavator, Concrete Mixer",None,Mehaavarshini J
REP_1216,PRJ_110,2025-07-17,Clear,170,Foundation Excavation,"Cement: 84 Bags, Steel: 1139 kg","Scaffolding, Generator",Shortage of premium sand tiles,Lakshana G S
REP_1217,PRJ_112,2025-05-29,Light Showers,217,Foundation Excavation,"Cement: 191 Bags, Steel: 1903 kg","Scaffolding, Generator",Shortage of premium sand tiles,Lakshana G S
REP_1218,PRJ_108,2025-06-10,Light Showers,59,Foundation Excavation,"Cement: 117 Bags, Steel: 1513 kg","Scaffolding, Generator",Shortage of premium sand tiles,Karthik Raja
REP_1219,PRJ_110,2025-07-30,Humid,127,Slab Concreting Completed,"Cement: 57 Bags, Steel: 1709 kg","Excavator, Concrete Mixer",None,Krishna Murthy
