Equipment_ID,Equipment_Name,Category,Purchase_Date,Condition,Assigned_Project_ID,Maintenance_Date,Status
EQP_575,Tower Crane,Lifting Equipment,2022-09-06,Good,PRJ_110,2026-05-16,Active
EQP_576,Tower Crane,Lifting Equipment,2023-10-16,Excellent,PRJ_100,2026-01-26,Active
EQP_577,Dump Truck,Transport,2022-12-05,Needs Repair,PRJ_101,2026-02-05,Under Maintenance
EQP_578,Excavator,Heavy Machinery,2024-09-14,Excellent,PRJ_106,2026-05-02,Active
EQP_579,Dump Truck,Transport,2023-10-29,Excellent,PRJ_112,2026-03-15,Active
EQP_580,Concrete Mixer,Mixing Equipment,2022-10-20,Good,PRJ_114,2026-01-23,Active
EQP_581,Scaffolding Set,Safety & Support,2023-08-11,Excellent,PRJ_108,2026-01-10,Active
EQP_582,Tower Crane,Lifting Equipment,2023-03-04,Excellent,PRJ_114,2026-01-10,Active
EQP_583,Generator 125kVA,Power Systems,2023-02-11,Needs Repair,PRJ_102,2026-03-16,Under Maintenance
EQP_584,Excavator,Heavy Machinery,2022-01-10,Fair,PRJ_109,2026-01-28,Active
EQP_585,Concrete Mixer,Mixing Equipment,2022-10-19,Needs Repair,PRJ_110,2026-05-20,Under Maintenance
EQP_586,Backhoe Loader,Heavy Machinery,2023-05-21,Excellent,PRJ_113,2026-05-10,Active
EQP_587,Dump Truck,Transport,2022-10-07,Excellent,PRJ_112,2026-01-29,Active
EQP_588,Concrete Mixer,Mixing Equipment,2022-06-16,Needs Repair,PRJ_110,2026-03-07,Under Maintenance
EQP_589,Scaffolding Set,Safety & Support,2022-07-10,Good,PRJ_111,2026-03-28,Active
EQP_590,Generator 125kVA,Power Systems,2022-10-30,Excellent,PRJ_102,2026-04-14,Active
EQP_591,Generator 125kVA,Power Systems,2023-03-14,Fair,PRJ_101,2026-04-13,Active
EQP_592,Scaffolding Set,Safety & Support,2022-04-08,Excellent,PRJ_102,2026-05-03,Active
EQP_593,Concrete Mixer,Mixing Equipment,2024-08-16,Excellent,PRJ_100,2026-03-08,Active
EQP_594,Dump Truck,Transport,2022-08-30,Needs Repair,PRJ_112,2026-03-10,Under Maintenance
EQP_595,Concrete Mixer,Mixing Equipment,2022-11-06,Good,PRJ_104,2026-04-03,Active
EQP_596,Scaffolding Set,Safety & Support,2022-08-30,Good,PRJ_110,2026-01-31,Active
EQP_597,Dump Truck,Transport,2022-11-11,Excellent,PRJ_106,2026-05-09,Active
EQP_598,Scaffolding Set,Safety & Support,2024-02-28,Fair,PRJ_111,2026-01-31,Active
EQP_599,Scaffolding Set,Safety & Support,2024-07-27,Fair,PRJ_105,2026-02-26,Active
EQP_600,Tower Crane,Lifting Equipment,2024-09-07,Excellent,PRJ_107,2026-02-09,Active
EQP_601,Dump Truck,Transport,2024-02-05,Fair,PRJ_106,2026-05-21,Active
EQP_602,Dump Truck,Transport,2024-02-15,Excellent,PRJ_112,2026-03-05,Active
EQP_603,Scaffolding Set,Safety & Support,2024-02-12,Good,PRJ_108,2026-04-25,Active
EQP_604,Backhoe Loader,Heavy Machinery,2023-12-22,Fair,PRJ_101,2026-05-25,Active
